"Handle","Title","Body (HTML)","Vendor","Type","Product Category","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Inventory Qty","Variant Grams","Variant Image","Image Src","Metafield: custom.product_type_standard [single_line_text_field]","Metafield: custom.product_type_detail [single_line_text_field]","Metafield: custom.style [single_line_text_field]","Metafield: custom.material [single_line_text_field]","Metafield: custom.fit_type [single_line_text_field]","Metafield: custom.colour_family [single_line_text_field]"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts","<meta charset=""UTF-8""> <p>The ultimate Ibiza fit. Brought to you in a gorgeous crochet fabric and lined for comfort, we’re completely obsessed. Designed with versatility in mind, both tops and bottoms in this collection are available to mix &amp; match with one another. Pair with your fav cowboy boots for a look that’s guaranteed to turn heads.</p> <ul> <li class=""li1"">Made from crochet knit textured fabric</li> <li class=""li1"">Lined with supersoft fabric so that it’s not see through</li> <li class=""li1"">Fold over waistband with raw edge detailing</li> <li class=""li1"">Elasticated waistband</li> <li class=""li1"">Set sold separately</li> <li class=""li1"">Sizing runs small so if inbetween sizes we would recommend sizing up</li> </ul> <p> </p> <p><span style=""text-decoration: underline;""><strong>Model measurements:</strong></span></p> <p>Holly is 5’5 and wears a size 6<br>Bust: 32<br>Waist: 23’’<br>Hips: 34’’<br>Dress size: 4-6</p> <p><span> </span></p>","Koko Bay","Shorts","Apparel & Accessories > Clothing > Shorts","TRUE","Size","4","Color","Melt","CROCHET-FOLDOVER-SRT-MEL-4","26.00","shopify","deny","manual","-1","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/48DD9C96-C7AC-451C-8A6E-15033D80A3EE.png?v=1754704335","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/48DD9C96-C7AC-451C-8A6E-15033D80A3EE.png?v=1754704335","Shorts","skirt","","","",""
"the-crochet-foldover-shorts-mocha-melt","","","","","","","Size","6","Color","Melt","CROCHET-FOLDOVER-SRT-MEL-6","26.00","shopify","deny","manual","0","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/48DD9C96-C7AC-451C-8A6E-15033D80A3EE.png?v=1754704335","","Shorts","skirt","","","",""
"the-crochet-foldover-shorts-mocha-melt","","","","","","","Size","8","Color","Melt","CROCHET-FOLDOVER-SRT-MEL-8","26.00","shopify","deny","manual","0","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/48DD9C96-C7AC-451C-8A6E-15033D80A3EE.png?v=1754704335","","Shorts","skirt","","","",""
"the-crochet-foldover-shorts-mocha-melt","","","","","","","Size","10","Color","Melt","CROCHET-FOLDOVER-SRT-MEL-10","26.00","shopify","deny","manual","0","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/48DD9C96-C7AC-451C-8A6E-15033D80A3EE.png?v=1754704335","","Shorts","skirt","","","",""
"the-crochet-foldover-shorts-mocha-melt","","","","","","","Size","12","Color","Melt","CROCHET-FOLDOVER-SRT-MEL-12","26.00","shopify","deny","manual","8","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/48DD9C96-C7AC-451C-8A6E-15033D80A3EE.png?v=1754704335","","Shorts","skirt","","","",""
"the-crochet-foldover-shorts-mocha-melt","","","","","","","Size","14","Color","Melt","CROCHET-FOLDOVER-SRT-MEL-14","26.00","shopify","deny","manual","3","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/48DD9C96-C7AC-451C-8A6E-15033D80A3EE.png?v=1754704335","","Shorts","skirt","","","",""
"the-crochet-foldover-shorts-mocha-melt","","","","","","","Size","16","Color","Melt","CROCHET-FOLDOVER-SRT-MEL-16","26.00","shopify","deny","manual","0","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/48DD9C96-C7AC-451C-8A6E-15033D80A3EE.png?v=1754704335","","Shorts","skirt","","","",""
"the-crochet-foldover-shorts-mocha-melt","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/1EF52BA4-B14A-487F-A381-4ECFF283C7FE.png?v=1754704355","","","","","",""
"the-crochet-foldover-shorts-mocha-melt","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/F54ACA5C-6A45-40D4-AB34-D588C465C08C.png?v=1754704378","","","","","",""
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts","<p> </p> <p>The ultimate Ibiza fit. Brought to you in a gorgeous crochet fabric and lined for comfort, we’re completely obsessed. Designed with versatility in mind, both tops and bottoms in this collection are available to mix &amp; match with one another. Pair with your fav cowboy boots for a look that’s guaranteed to turn heads.</p> <ul> <li class=""li1"">Made from crochet knit textured fabric</li> <li class=""li1"">Lined with supersoft fabric so that it’s not see through</li> <li class=""li1"">Fold over waistband with raw edge detailing</li> <li class=""li1"">Elasticated waistband</li> <li class=""li1"">Set sold separately</li> <li class=""li1"">Sizing runs small so if inbetween sizes we would recommend sizing up</li> </ul> <p><span style=""text-decoration: underline;""><strong>Model measurements:</strong></span></p> <p>Emily is 5’7 and wears a size 6<br>Bust: 32''<br>Waist: 24’’<br>Hips: 34’’<br>Dress size: 6</p>","Koko Bay","Shorts","Apparel & Accessories > Clothing > Shorts","TRUE","Size","4","Color","Sorbet","CROCHET-FOLDOVER-SRT-SOR-4-1","26.00","shopify","deny","manual","0","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/3BC210EB-47F0-4B51-B571-7409AEC485DE.jpg?v=1754710409","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/3BC210EB-47F0-4B51-B571-7409AEC485DE.jpg?v=1754710409","Shorts","skirt","","","",""
"the-crochet-foldover-shorts-strawberry-sorbet","","","","","","","Size","6","Color","Sorbet","CROCHET-FOLDOVER-SRT-SOR-6-1","26.00","shopify","deny","manual","-1","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/3BC210EB-47F0-4B51-B571-7409AEC485DE.jpg?v=1754710409","","Shorts","skirt","","","",""
"the-crochet-foldover-shorts-strawberry-sorbet","","","","","","","Size","8","Color","Sorbet","CROCHET-FOLDOVER-SRT-SOR-8-1","26.00","shopify","deny","manual","0","1010","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/3BC210EB-47F0-4B51-B571-7409AEC485DE.jpg?v=1754710409","","Shorts","skirt","","","",""
